City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,merritt island,28.5392,-80.672,289.26,65,0,3.09,US,1674530075
1,vaini,-21.2,-175.2,303.24,79,20,3.6,TO,1674530081
2,los llanos de aridane,28.6585,-17.9182,288.01,70,100,3.6,ES,1674530081
3,albany,42.6001,-73.9662,272.39,83,69,1.34,US,1674529928
4,butaritari,3.0707,172.7902,300.27,78,53,7.73,KI,1674530083
5,ushuaia,-54.8,-68.3,279.83,94,79,1.84,AR,1674529896
6,broome,42.2506,-75.833,272.51,85,100,4.12,US,1674530084
7,ormond beach,29.2858,-81.0559,287.64,66,40,4.12,US,1674530063
8,qaanaaq,77.484,-69.3632,248.73,70,94,3.22,GL,1674530085
9,lucapa,-8.4192,20.7447,290.2,96,100,0.95,AO,1674530086
10,port alfred,-33.5906,26.891,295.47,89,59,3.58,ZA,1674530087
11,southbridge,42.0751,-72.0334,273.11,97,66,5.55,US,1674530087
12,georgetown,5.4112,100.3354,302.11,79,20,0.0,MY,1674530088
13,dong hoi,17.4833,106.6,289.97,88,100,11.25,VN,1674530089
14,ponta do sol,32.6667,-17.1,289.5,69,13,2.95,PT,1674530089
15,mariana,-20.3778,-43.4161,293.28,97,100,1.3,BR,1674530090
16,muroto,33.2833,134.15,280.44,75,44,12.1,JP,1674530091
17,nome,64.5011,-165.4064,254.19,65,0,3.09,US,1674530092
18,haines junction,60.7522,-137.5108,265.56,98,100,1.37,CA,1674530093
19,east london,-33.0153,27.9116,296.13,83,27,6.46,ZA,1674530094
20,busselton,-33.65,115.3333,301.91,41,21,5.03,AU,1674530094
21,hithadhoo,-0.6,73.0833,299.98,77,66,5.66,MV,1674530095
22,tasiilaq,65.6145,-37.6368,266.24,65,100,2.37,GL,1674530096
23,chuy,-33.6971,-53.4616,290.47,73,0,1.03,UY,1674530097
24,saint-philippe,-21.3585,55.7679,295.92,83,100,4.26,RE,1674530097
25,bredasdorp,-34.5322,20.0403,289.6,76,0,3.61,ZA,1674530098
26,codrington,-38.2667,141.9667,294.95,62,98,5.64,AU,1674530099
27,hermanus,-34.4187,19.2345,291.05,80,0,6.53,ZA,1674530099
28,hakkari,37.5833,44.1667,261.03,92,20,1.54,TR,1674530100
29,cayenne,4.9333,-52.3333,298.17,78,0,2.06,GF,1674530101
30,honiara,-9.4333,159.95,299.96,86,89,1.6,SB,1674529846
31,namibe,-15.1961,12.1522,296.06,86,97,0.19,AO,1674529907
32,hilo,19.7297,-155.09,298.0,81,100,3.6,US,1674530102
33,boende,-0.2167,20.8667,295.86,78,100,0.85,CD,1674530103
34,saint-georges,12.0564,-61.7485,298.33,77,100,7.74,GD,1674529937
35,rikitea,-23.1203,-134.9692,299.36,75,0,7.11,PF,1674530104
36,seoul,37.5683,126.9778,259.81,29,7,8.53,KR,1674529411
37,kapaa,22.0752,-159.319,300.14,80,20,2.57,US,1674530106
38,bluff,-46.6,168.3333,286.82,59,16,5.43,NZ,1674530106
39,gisborne,-38.6533,178.0042,291.5,67,59,3.17,NZ,1674530107
40,zaozerne,45.1582,33.2787,275.79,90,99,5.16,UA,1674530110
41,naze,28.3667,129.4833,283.66,75,100,13.04,JP,1674530111
42,madingou,-4.1536,13.55,295.63,95,100,0.78,CG,1674530112
43,punta arenas,-53.15,-70.9167,283.21,57,0,7.72,CL,1674529857
44,mar del plata,-38.0023,-57.5575,293.2,74,0,6.71,AR,1674530113
45,kavieng,-2.5744,150.7967,302.56,70,90,5.04,PG,1674530114
46,antsohihy,-14.8796,47.9875,295.59,95,97,3.12,MG,1674530114
47,bandarbeyla,9.4942,50.8122,297.17,66,70,7.53,SO,1674530115
48,cape town,-33.9258,18.4232,293.08,78,17,2.68,ZA,1674530100
49,quatre cocos,-20.2078,57.7625,296.53,80,100,2.01,MU,1674530116
50,nikolskoye,59.7035,30.7861,269.09,92,99,4.06,RU,1674530117
51,mataura,-46.1927,168.8643,293.96,35,9,1.99,NZ,1674530119
52,jumla,29.2747,82.1838,276.13,91,100,2.01,NP,1674530106
53,atuona,-9.8,-139.0333,299.35,77,7,8.06,PF,1674530120
54,aklavik,68.2191,-135.0107,250.07,98,100,4.27,CA,1674530120
55,cherskiy,68.75,161.3,245.89,95,100,1.04,RU,1674530121
56,mahebourg,-20.4081,57.7,296.62,77,100,2.55,MU,1674530122
57,kaitangata,-46.2817,169.8464,287.97,57,51,3.73,NZ,1674530122
58,farragut,35.8845,-84.1535,274.67,85,0,0.0,US,1674529851
59,arraial do cabo,-22.9661,-42.0278,296.93,92,100,3.42,BR,1674530124
60,cidreira,-30.1811,-50.2056,297.3,82,0,5.22,BR,1674530125
61,hasaki,35.7333,140.8333,281.6,71,100,6.36,JP,1674530126
62,richards bay,-28.783,32.0377,294.79,94,1,4.02,ZA,1674530126
63,kabompo,-13.5927,24.2008,290.11,99,100,1.45,ZM,1674530127
64,cabo san lucas,22.8909,-109.9124,291.76,74,40,6.17,MX,1674529904
65,bambanglipuro,-7.95,110.2833,302.34,68,79,2.91,ID,1674530128
66,norman wells,65.282,-126.8329,249.71,99,100,0.5,CA,1674530129
67,stokmarknes,68.5646,14.9108,277.14,52,100,10.29,NO,1674530129
68,hobart,-42.8794,147.3294,297.74,50,20,7.2,AU,1674530130
69,beroroha,-21.6667,45.1667,295.24,93,100,3.11,MG,1674530131
70,yaan,7.3833,8.5667,297.78,34,24,2.5,NG,1674530131
71,clyde river,70.4692,-68.5914,237.28,68,40,5.66,CA,1674530132
72,vila velha,-20.3297,-40.2925,300.12,90,40,1.03,BR,1674530133
73,tuktoyaktuk,69.4541,-133.0374,248.95,95,100,3.57,CA,1674530133
74,qaqortoq,60.7167,-46.0333,270.0,81,100,3.02,GL,1674530134
75,inirida,3.8653,-67.9239,295.97,96,100,0.74,CO,1674530135
76,yellowknife,62.456,-114.3525,259.44,85,75,4.63,CA,1674530135
77,provideniya,64.3833,-173.3,258.21,61,40,7.0,RU,1674530136
78,mandera,3.9366,41.867,297.27,63,43,3.37,KE,1674530137
79,khatanga,71.9667,102.5,230.35,97,49,2.14,RU,1674530137
80,ilulissat,69.2167,-51.1,267.16,58,75,8.23,GL,1674530138
81,salinas,36.6777,-121.6555,283.66,68,0,2.06,US,1674529990
82,diego de almagro,-26.3667,-70.05,292.42,58,0,0.76,CL,1674530139
83,gavrilov posad,56.5597,40.1175,261.98,96,76,2.99,RU,1674530140
84,la tuque,47.4334,-72.7824,269.29,74,84,1.54,CA,1674530141
85,port elizabeth,-33.918,25.5701,294.99,86,0,9.77,ZA,1674530141
86,puerto ayora,-0.7393,-90.3518,296.79,97,89,1.79,EC,1674530142
87,nioro,13.35,-15.75,292.64,67,49,2.3,GM,1674530143
88,sobolevo,54.4299,31.8996,272.55,94,91,0.8,RU,1674530143
89,jamestown,42.097,-79.2353,272.35,67,100,9.77,US,1674529916
90,faanui,-16.4833,-151.75,299.2,77,100,7.56,PF,1674530144
91,fredericksburg,38.3032,-77.4605,278.69,68,100,0.89,US,1674529909
92,krasnaya gora,52.9995,31.6023,271.51,70,7,1.73,RU,1674530146
93,north bend,43.4065,-124.2243,279.77,94,0,2.06,US,1674530108
94,bethel,41.3712,-73.414,274.83,79,100,3.6,US,1674530147
95,vardo,70.3705,31.1107,270.14,74,0,12.35,NO,1674530147
96,hamilton,39.1834,-84.5333,273.5,83,0,3.09,US,1674529852
97,port lincoln,-34.7333,135.8667,293.49,64,26,7.08,AU,1674530148
98,san juan,-31.5375,-68.5364,304.35,25,19,7.98,AR,1674530135
99,iqaluit,63.7506,-68.5145,249.09,83,100,1.03,CA,1674530150
100,anadyr,64.75,177.4833,253.43,59,0,2.0,RU,1674530151
101,new norfolk,-42.7826,147.0587,297.87,41,16,1.34,AU,1674530151
102,salalah,17.0151,54.0924,295.2,68,20,2.57,OM,1674530143
103,carnarvon,-24.8667,113.6333,300.48,62,75,5.72,AU,1674530153
104,victoria,22.2855,114.1577,289.28,50,98,11.18,HK,1674530056
105,hidalgo,20.5,-99.0,285.37,82,83,1.54,MX,1674530154
106,boyolangu,-8.1181,111.8935,302.86,63,69,1.29,ID,1674530154
107,tabuk,17.4189,121.4443,299.02,71,72,5.46,PH,1674530155
108,la asuncion,11.0333,-63.8628,297.52,84,54,7.38,VE,1674530156
109,horqueta,-23.3428,-57.0597,295.84,92,100,2.96,PY,1674530156
110,jawhar,2.7809,45.5005,294.98,86,14,5.31,SO,1674530157
111,barrow,71.2906,-156.7887,251.16,84,100,8.75,US,1674530158
112,sao jose da coroa grande,-8.8978,-35.1478,298.65,79,25,3.45,BR,1674530158
113,vysha,53.8477,42.3777,263.01,92,52,2.14,RU,1674530159
114,saint george,37.1041,-113.5841,277.01,45,0,2.57,US,1674530049
115,saldanha,-33.0117,17.9442,290.33,89,0,3.72,ZA,1674530160
116,andapa,-14.65,49.65,293.66,93,100,1.32,MG,1674530161
117,makakilo city,21.3469,-158.0858,299.33,63,0,4.63,US,1674530162
118,thompson,55.7435,-97.8558,243.24,76,0,1.54,CA,1674530162
119,xai-xai,-25.0519,33.6442,298.81,74,100,1.73,MZ,1674530163
120,naron,43.5167,-8.1528,282.05,75,93,5.88,ES,1674530164
121,goodyear,33.4353,-112.3582,281.67,50,75,2.68,US,1674530007
122,san vicente,-26.6167,-54.1333,293.75,61,0,0.81,AR,1674530165
123,nanortalik,60.1432,-45.2371,271.37,86,100,3.95,GL,1674530165
124,rivadavia,-33.1905,-68.4608,301.12,37,0,5.38,AR,1674529952
125,ribeira grande,38.5167,-28.7,289.69,75,15,10.28,PT,1674530167
126,chokurdakh,70.6333,147.9167,236.88,100,97,2.09,RU,1674530167
127,yuncheng,35.0231,110.9928,267.02,19,0,2.22,CN,1674530168
128,kodiak,57.79,-152.4072,276.88,87,75,3.09,US,1674530169
129,meaford,44.6001,-80.583,273.33,88,100,9.51,CA,1674530169
130,aswan,24.0934,32.907,287.86,29,0,3.66,EG,1674530170
131,karratha,-20.7377,116.8463,304.32,54,99,5.62,AU,1674530171
132,rawson,-43.3002,-65.1023,300.4,27,0,7.63,AR,1674530172
133,ahipara,-35.1667,173.1667,294.98,74,100,1.94,NZ,1674530173
134,taoudenni,22.6783,-3.9836,289.33,24,0,3.22,ML,1674530173
135,inhambane,-23.865,35.3833,298.14,80,90,4.39,MZ,1674530174
136,airai,-8.9266,125.4092,293.66,71,100,0.87,TL,1674530175
137,antalaha,-14.9003,50.2788,297.28,85,100,1.27,MG,1674530175
138,leningradskiy,69.3833,178.4167,241.16,93,8,3.97,RU,1674530176
139,montague,42.5356,-72.5351,273.22,93,74,5.0,US,1674530177
140,kaduqli,11.0167,29.7167,294.04,30,62,4.25,SD,1674530177
141,esperance,-33.8667,121.9,299.62,45,0,4.2,AU,1674530178
142,beringovskiy,63.05,179.3167,250.04,97,100,6.2,RU,1674530179
143,hwange,-18.3693,26.5019,292.63,96,100,2.21,ZW,1674530180
144,delhi,28.6667,77.2167,289.2,88,75,4.12,IN,1674530162
145,mosquera,4.7059,-74.2302,285.2,82,75,2.57,CO,1674530181
146,ocho rios,18.4025,-77.1048,297.48,82,16,4.64,JM,1674530182
147,bilibino,68.0546,166.4372,250.32,84,100,1.94,RU,1674530183
148,gravelbourg,49.8834,-106.5512,270.3,86,100,5.61,CA,1674530184
149,troitsko-pechorsk,62.7084,56.1964,259.35,95,25,2.48,RU,1674530184
150,lovington,32.944,-103.3485,278.62,47,80,2.68,US,1674530185
151,long xuyen,10.3833,105.4167,302.12,65,56,3.7,VN,1674530186
152,matanzas,23.0411,-81.5775,296.57,83,20,2.57,CU,1674530186
153,pangnirtung,66.1451,-65.7125,245.88,81,100,1.65,CA,1674530187
154,baykit,61.67,96.37,240.01,99,93,1.64,RU,1674530188
155,oboyan,51.2098,36.2792,269.42,71,0,2.95,RU,1674530189
156,jablanica,43.6603,17.7617,276.19,96,100,1.8,BA,1674530190
157,paamiut,61.994,-49.6678,270.82,82,100,7.89,GL,1674530190
158,ukiah,39.1502,-123.2078,283.39,72,0,0.0,US,1674530191
159,dali,25.7,100.1833,284.43,34,0,1.71,CN,1674530192
160,manzhouli,49.6,117.4333,244.94,76,1,5.21,CN,1674530192
161,fortuna,40.5982,-124.1573,280.92,92,0,0.0,US,1674530193
162,narsaq,60.9167,-46.05,264.27,80,100,2.2,GL,1674530194
163,alofi,-19.0595,-169.9187,301.09,83,40,2.57,NU,1674530195
164,port hedland,-20.3167,118.5667,306.18,49,100,7.2,AU,1674530195
165,pokaran,26.9167,71.9167,284.32,32,1,4.93,IN,1674530196
166,chingirlau,51.095,54.0814,258.24,91,100,2.12,KZ,1674530197
167,kahului,20.8947,-156.47,300.16,72,0,5.14,US,1674530197
168,lagoa,39.05,-27.9833,288.19,77,78,11.29,PT,1674530198
169,luderitz,-26.6481,15.1594,289.55,83,0,5.35,NA,1674530199
170,lavrentiya,65.5833,-171.0,246.64,95,28,5.37,RU,1674530200
171,lebu,-37.6167,-73.65,289.95,96,100,3.93,CL,1674530201
172,padang,-0.9492,100.3543,299.18,88,100,2.07,ID,1674530201
173,nenjiang,49.1833,125.2167,247.23,80,22,1.55,CN,1674530202
174,mogadishu,2.0371,45.3438,297.88,80,93,8.62,SO,1674530203
175,belaya gora,68.5333,146.4167,241.4,98,100,0.77,RU,1674530203
176,bathsheba,13.2167,-59.5167,298.49,83,40,8.23,BB,1674530204
177,torbay,47.6666,-52.7314,274.42,95,100,4.02,CA,1674530109
178,yarmouth,41.7057,-70.2286,275.35,93,100,12.07,US,1674530205
179,dingle,10.9995,122.6711,300.19,80,100,6.73,PH,1674530206
180,oranjemund,-28.55,16.4333,289.25,90,0,1.29,NA,1674530206
181,khasan,42.4308,130.6434,254.56,54,0,11.33,RU,1674530207
182,montepuez,-13.1256,38.9997,292.75,96,100,3.26,MZ,1674530208
183,sangmelima,2.9333,11.9833,291.67,99,89,1.13,CM,1674530208
184,hirara,24.8,125.2833,289.07,77,75,16.46,JP,1674530209
185,warwick,41.7001,-71.4162,274.42,84,75,5.14,US,1674530210
186,el tigre,8.8875,-64.2454,296.31,75,50,5.45,VE,1674530210
187,lazaro cardenas,17.9583,-102.2,296.21,75,1,1.66,MX,1674530211
188,tessalit,20.1986,1.0114,291.74,15,0,3.32,ML,1674530212
189,antofagasta,-23.65,-70.4,292.75,82,13,1.96,CL,1674530164
190,tuy hoa,13.0833,109.3,297.08,88,99,5.92,VN,1674529988
191,kontagora,10.3999,5.4695,295.22,16,15,1.88,NG,1674530213
192,erbaa,40.6689,36.5675,280.39,84,58,0.83,TR,1674530214
193,wageningen,51.9667,5.6667,275.97,83,100,3.6,NL,1674530215
194,fairbanks,64.8378,-147.7164,254.38,71,100,0.0,US,1674530085
195,sola,-13.8833,167.55,300.73,71,68,3.72,VU,1674530216
196,florence,43.7667,11.25,279.43,95,40,2.57,IT,1674529938
197,san quintin,30.4833,-115.95,286.12,46,0,1.93,MX,1674530218
198,graham,47.0529,-122.2943,277.54,92,0,0.0,US,1674530101
199,scarborough,54.2797,-0.4044,279.45,88,43,0.45,GB,1674530219
200,pachperwa,27.5167,82.65,290.18,45,13,3.14,IN,1674530219
201,siguiri,11.6667,-9.5,298.59,29,53,1.05,GN,1674530220
202,touros,-5.1989,-35.4608,299.27,78,20,4.23,BR,1674530221
203,kassala,15.451,36.4,293.54,79,2,3.72,SD,1674530221
204,chokwe,-24.5333,32.9833,295.41,97,97,1.79,MZ,1674530222
205,babayurt,43.6002,46.7789,276.14,69,5,7.78,RU,1674530223
206,cap-aux-meules,47.3821,-61.8597,274.41,98,100,12.85,CA,1674530099
207,high level,58.5169,-117.136,262.21,92,100,2.06,CA,1674530107
208,pontes e lacerda,-15.2261,-59.3353,295.86,90,56,1.66,BR,1674530224
209,caravelas,-17.7125,-39.2481,298.96,84,100,4.81,BR,1674530073
210,ziro,27.6333,93.8333,276.56,50,95,0.96,IN,1674530225
211,tugulym,57.0591,64.6425,258.33,98,56,2.24,RU,1674530226
212,kruisfontein,-34.0033,24.7314,292.84,86,99,5.96,ZA,1674530227
213,belawan,3.7755,98.6832,299.31,89,100,1.09,ID,1674530228
214,kavaratti,10.5669,72.642,299.56,75,56,7.51,IN,1674530228
215,chabahar,25.2919,60.643,287.96,33,0,2.86,IR,1674530229
216,arman,59.7,150.1667,248.55,80,97,5.21,RU,1674530230
217,te anau,-45.4167,167.7167,293.32,39,6,1.14,NZ,1674530231
218,mayumba,-3.432,10.6554,298.95,81,100,1.83,GA,1674530231
219,henties bay,-22.116,14.2845,291.39,86,100,4.29,NA,1674530232
220,maputo,-25.9653,32.5892,296.97,88,75,2.57,MZ,1674530233
221,phan thiet,10.9333,108.1,303.14,53,88,6.45,VN,1674530234
222,abha,18.2164,42.5053,282.05,93,0,0.0,SA,1674530234
223,bengkulu,-3.8004,102.2655,297.08,90,100,3.36,ID,1674530235
224,ostrovnoy,68.0531,39.5131,269.14,90,100,12.21,RU,1674530236
